symbol,name,rows
159293.SZ,创业板综增强ETF建信,44
159247.SZ,创业板ETF汇添富,30
159243.SZ,创业板人工智能ETF招商,50
159189.SZ,石油ETF华夏,3
159181.SZ,石油ETF易方达,3
159175.SZ,电池ETF易方达,13
159172.SZ,养殖ETF汇添富,2
159171.SZ,工业有色ETF博时,13
159170.SZ,港股通互联网ETF永赢,3
159169.SZ,恒生生物科技ETF广发,14
159168.SZ,有色ETF富国,22
159167.SZ,港股通医疗ETF工银,22
159166.SZ,现金流ETF长城,4
159165.SZ,养殖ETF永赢,22
159163.SZ,有色ETF泰康,25
159162.SZ,工业有色ETF鹏华,32
159159.SZ,公用事业ETF国投瑞银,22
159158.SZ,电力ETF景顺,34
159157.SZ,有色金属ETF天弘,26
159156.SZ,电池ETF万家,22
159155.SZ,电池ETF大成,38
159153.SZ,消费电子ETF鹏华,25
159152.SZ,港股通科技ETF平安,29
159151.SZ,食品ETF华夏,43
159149.SZ,创业板新能源ETF工银,39
159148.SZ,石油ETF富国,23
159147.SZ,电池ETF南方,36
159146.SZ,电力ETF华宝,39
159145.SZ,工业软件ETF广发,40
159143.SZ,港股通央企红利ETF平安,45
159139.SZ,科创创业人工智能ETF华泰柏瑞,59
159138.SZ,工程机械ETF易方达,44
159137.SZ,港股通医疗ETF华宝,45
159136.SZ,A50ETF广发,55
159135.SZ,港股通科技ETF前海开源,23
159132.SZ,恒生生物科技ETF富国,47
159005.SZ,汇添富快钱ETF,1
159003.SZ,招商快线ETF,1
589230.SS,科创人工智能ETF南方,30
589220.SS,科创200ETF国泰,35
589210.SS,科创芯片设计ETF广发,57
589190.SS,科创芯片ETF华宝,34
589170.SS,科创芯片设计ETF鹏华,26
589160.SS,科创芯片ETF广发,31
589150.SS,科创50ETF平安,49
589130.SS,科创芯片ETF易方达,52
589070.SS,科创芯片设计ETF天弘,39
589030.SS,科创芯片设计ETF易方达,45
589010.SS,科创人工智能ETF华夏,42
588890.SS,科创芯片ETF南方,42
588830.SS,科创新能源ETF,42
588430.SS,科创创业人工智能ETF工银,53
588420.SS,科创创业人工智能ETF摩根,50
588410.SS,科创创业人工智能ETF鹏华,50
588270.SS,科创200ETF易方达,42
588170.SS,科创半导体ETF华夏,42
588020.SS,科创成长ETF易方达,42
563960.SS,300质量ETF兴全,53
563930.SS,上证增强ETF招商,49
563870.SS,通用航空ETF鹏华,45
563850.SS,食品ETF广发,59
563790.SS,卫星ETF鹏华,50
563560.SS,科技成长ETF兴业,17
563500.SS,A500ETF华宝,42
563360.SS,A500ETF华泰柏瑞,42
562570.SS,信创ETF华夏,42
562070.SS,沪深300指增ETF,55
560710.SS,船舶ETF富国,26
560400.SS,证券ETF华泰柏瑞,6
560390.SS,电网设备ETF易方达,14
560370.SS,红利质量ETF易方达,18
560310.SS,光伏ETF博时,19
560290.SS,有色ETF景顺,26
560270.SS,电力ETF工银,16
560230.SS,光伏ETF富国,26
560210.SS,农牧渔ETF景顺,5
560160.SS,食品ETF易方达,34
560130.SS,食品ETF鹏华,48
530060.SS,上证指数ETF易方达,24
520930.SS,恒生生物科技ETF国泰,25
520910.SS,港股通互联网ETF华夏,30
520850.SS,港股通医疗ETF易方达,40
520810.SS,港股通红利ETF易方达,51
520780.SS,港股通汽车ETF华宝,53
520770.SS,恒指港股通ETF建信,41
520760.SS,恒生生物科技ETF摩根,19
520630.SS,港股通互联网ETF广发,58
520610.SS,港股红利低波ETF银华,25
516650.SS,有色金属ETF华夏,42
516290.SS,光伏ETF汇添富,42
516250.SS,工程机械ETF富国,58
516230.SS,光伏ETF招商,29
516110.SS,汽车ETF国泰,42
516080.SS,创新药ETF易方达,42
515970.SS,工程机械ETF华夏,25
515460.SS,红利质量ETF南方,9
513930.SS,恒生生物科技ETF华泰柏瑞,7
513720.SS,港股互联网ETF国泰,46
512940.SS,有色ETF华安,22
512460.SS,电池ETF华夏,5
512020.SS,A500ETF鹏华,42
511960.SS,货币ETF嘉实,1
511930.SS,货币ETF国联,1
511880.SS,银华日利ETF,1
511860.SS,货币ETF博时,1
511820.SS,鹏华添利ETF,1
